frame_idx,time_sec,foot,knee_angle,knee_status,foot_strike_angle,foot_strike_status,overstride_distance,overstride_status,hip_y,is_foot_strike
237,3.95,,,,,,,,0.4932377389117522,False
238,3.9667,left,159.5002650968361,borderline,-23.56759367259877,forefoot_strike,0.024785394010483297,good_stride,0.49360989963554025,True
239,3.9833,,,,,,,,0.4932035159618764,False
240,4.0,,,,,,,,0.4927289450865251,False
241,4.0167,,,,,,,,0.4921674426968321,False
242,4.0333,,,,,,,,0.49120118077422725,False
243,4.05,,,,,,,,0.49012529867689414,False
244,4.0667,,,,,,,,0.4891800306293336,False
245,4.0833,,,,,,,,0.48833573038435096,False
246,4.1,,,,,,,,0.4875932530147912,False
247,4.1167,,,,,,,,0.4871748232591618,False
248,4.1333,,,,,,,,0.4868792018359467,False
249,4.15,,,,,,,,0.486731876878155,False
250,4.1667,,,,,,,,0.48749521164875675,False
251,4.1833,,,,,,,,0.48903397721175235,False
252,4.2,,,,,,,,0.4908917553765911,False
253,4.2167,,,,,,,,0.49280603516704824,False
254,4.2333,,,,,,,,0.49461238401396446,False
255,4.25,,,,,,,,0.4962953811528995,False
256,4.2667,,,,,,,,0.49773615703063,False
257,4.2833,,,,,,,,0.4988768281472425,False
258,4.3,,,,,,,,0.49975693159100054,False
259,4.3167,right,159.7034875430871,borderline,-13.175796459205111,forefoot_strike,0.022944817875056644,good_stride,0.5004644806951895,True
260,4.3333,,,,,,,,0.49996737809700376,False
261,4.35,,,,,,,,0.4989199678590076,False
262,4.3667,,,,,,,,0.497293738697263,False
263,4.3833,,,,,,,,0.4955704636767403,False
264,4.4,,,,,,,,0.49367260936490076,False
265,4.4167,,,,,,,,0.4916978747219854,False
266,4.4333,,,,,,,,0.48950864565493324,False
267,4.45,,,,,,,,0.4877239089535945,False
268,4.4667,,,,,,,,0.48634059705606814,False
269,4.4833,,,,,,,,0.485107644152804,False
270,4.5,,,,,,,,0.4854996410652411,False
271,4.5167,,,,,,,,0.48617413629299855,False
272,4.5333,,,,,,,,0.48707969823523245,False
273,4.55,,,,,,,,0.48803989917158835,False
274,4.5667,,,,,,,,0.48893199223651346,False
275,4.5833,,,,,,,,0.4897805878382888,False
276,4.6,,,,,,,,0.49064288690360564,False
277,4.6167,,,,,,,,0.4913639821572927,False
278,4.6333,,,,,,,,0.49195656259295767,False
279,4.65,left,161.7383847388407,borderline,-19.58305471384151,forefoot_strike,0.015693288132467398,good_stride,0.49241361315564314,True
280,4.6667,,,,,,,,0.49214345259560754,False
281,4.6833,,,,,,,,0.49153781925353207,False
282,4.7,,,,,,,,0.490867592656032,False
283,4.7167,,,,,,,,0.4901468194306342,False
284,4.7333,,,,,,,,0.48935891395440634,False
285,4.75,,,,,,,,0.48853531543224515,False
286,4.7667,,,,,,,,0.48779163032845574,False
287,4.7833,,,,,,,,0.48716649177846694,False
288,4.8,,,,,,,,0.48663864809316437,False
289,4.8167,,,,,,,,0.48617046928795504,False
290,4.8333,,,,,,,,0.48711244116555796,False
291,4.85,,,,,,,,0.4884161480841004,False
292,4.8667,,,,,,,,0.4899699684964018,False
293,4.8833,,,,,,,,0.4918757809987544,False
294,4.9,,,,,,,,0.4939050332690813,False
295,4.9167,,,,,,,,0.4955919857220851,False
